carat,cut,color,clarity,depth,table,x,y,z
2.04,3,2,3,60.2,58.0,8.24,8.17,4.94
0.9,4,3,2,62.9,56.0,6.11,6.17,3.86
0.7,4,1,2,62.7,55.0,5.63,5.67,3.54
0.54,3,4,6,62.0,57.0,5.25,5.2,3.24
0.5,3,0,2,61.2,60.0,5.14,5.09,3.13
1.02,3,4,3,61.1,61.0,6.51,6.48,3.97
1.01,2,4,5,61.7,56.0,6.45,6.47,3.98
0.31,4,0,2,62.9,56.0,4.31,4.34,2.72
0.32,2,2,5,61.9,55.0,4.45,4.41,2.74
0.3,2,1,5,62.1,55.0,4.35,4.32,2.69
0.26,3,1,6,61.7,59.0,4.1,4.14,2.54
1.02,2,1,5,60.7,56.0,6.58,6.61,4.0
0.51,3,2,4,60.0,58.0,5.21,5.19,3.12
0.5,2,0,2,62.1,57.0,5.08,5.03,3.14
0.51,2,0,5,61.6,56.0,5.15,5.17,3.18
0.31,3,5,5,62.3,60.0,4.31,4.32,2.69
1.0,3,2,5,61.9,59.0,6.38,6.34,3.94
1.29,0,3,0,66.0,58.0,6.82,6.75,4.48
0.71,3,1,2,59.2,59.0,5.86,5.83,3.46
0.9,1,5,5,62.5,59.0,6.06,6.13,3.81
0.33,3,5,7,61.5,58.0,4.43,4.45,2.73
0.61,4,3,6,61.1,56.0,5.47,5.5,3.35
1.02,4,2,2,63.7,56.0,6.34,6.41,4.06
1.31,2,3,4,62.2,56.0,7.05,7.01,4.37
0.41,3,1,3,62.8,58.0,4.73,4.69,2.96
0.39,1,3,6,61.6,61.0,4.71,4.74,2.91
0.38,2,5,2,61.5,56.0,4.67,4.7,2.88
0.9,2,5,2,62.0,56.0,6.16,6.23,3.84
0.54,2,0,5,61.8,56.0,5.21,5.24,3.23
1.28,4,4,3,60.4,61.0,7.08,7.03,4.26
2.03,2,3,2,62.0,57.0,8.1,8.05,5.01
0.49,3,4,3,59.9,59.0,5.17,5.12,3.08
1.38,1,6,3,63.7,58.0,7.06,7.01,4.48
0.58,2,5,6,62.1,56.0,5.32,5.34,3.31
0.5,2,4,4,61.9,54.0,5.12,5.15,3.18
0.5,2,6,5,62.5,53.0,5.09,5.12,3.19
1.16,3,2,3,62.1,59.0,6.71,6.76,4.18
1.07,4,4,2,62.3,57.0,6.53,6.64,4.1
0.4,4,2,4,63.1,56.0,4.68,4.7,2.96
0.42,4,1,2,62.8,59.0,4.74,4.78,2.99
0.41,4,1,5,62.7,58.0,4.68,4.73,2.95
1.0,3,0,3,62.4,58.0,6.33,6.36,3.96
1.01,3,5,3,59.4,57.0,6.59,6.57,3.91
0.9,4,3,3,61.1,55.0,6.21,6.26,3.81
1.03,3,2,2,60.9,60.0,6.52,6.45,3.95
0.8,2,4,4,62.6,55.0,5.9,5.93,3.7
1.58,3,2,3,62.3,60.0,7.42,7.38,4.61
0.54,2,1,5,61.8,55.0,5.26,5.24,3.24
1.52,2,3,2,60.7,57.0,7.41,7.38,4.49
0.52,4,3,6,62.3,55.0,5.13,5.15,3.2
0.7,4,5,3,63.4,59.0,5.66,5.57,3.56
0.32,2,5,5,62.5,55.0,4.38,4.39,2.74
0.3,4,0,4,63.2,59.0,4.26,4.29,2.7
0.38,2,0,3,61.1,56.0,4.65,4.71,2.86
0.32,2,0,6,62.1,54.0,4.43,4.4,2.74
0.33,3,3,2,62.3,59.0,4.39,4.44,2.75
1.01,3,5,2,62.9,58.0,6.37,6.34,4.0
1.0,2,3,3,60.3,57.0,6.51,6.45,3.91
1.56,3,3,5,61.9,58.0,7.4,7.44,4.59
0.7,4,2,5,62.8,58.0,5.6,5.64,3.53
1.2,2,5,2,62.2,57.0,6.8,6.77,4.22
1.1,4,0,7,61.7,56.0,6.64,6.65,4.1
0.31,2,3,3,61.6,55.6,4.34,4.37,2.69
0.7,1,0,3,58.2,63.0,5.78,5.83,3.38
0.7,2,0,3,62.1,55.0,5.68,5.73,3.54
0.32,2,5,7,62.2,54.5,4.38,4.42,2.74
1.4,4,3,5,62.2,61.0,7.09,7.13,4.42
0.3,2,1,6,61.2,57.0,4.36,4.33,2.66
1.05,2,2,5,59.1,57.0,6.67,6.66,3.94
1.01,1,6,5,62.8,58.0,6.3,6.35,3.97
0.31,2,3,1,61.0,57.0,4.36,4.39,2.67
0.6,4,2,5,60.8,56.0,5.45,5.48,3.32
0.73,0,2,0,66.9,54.0,5.62,5.54,3.74
1.43,2,4,4,62.0,55.0,7.21,7.28,4.49
1.27,2,3,5,62.8,54.0,6.92,6.87,4.33
0.51,1,2,2,63.8,56.0,5.08,5.04,3.23
0.55,3,3,3,60.3,58.0,5.35,5.33,3.22
0.59,1,3,4,60.4,61.2,5.38,5.43,3.26
2.01,0,2,2,58.6,95.0,8.32,8.31,4.87
0.4,1,1,2,63.2,56.0,4.65,4.69,2.95
1.2,3,4,3,62.3,58.0,6.81,6.76,4.23
0.76,4,1,3,62.0,54.0,5.84,5.91,3.64
1.12,2,6,2,62.4,57.0,6.65,6.6,4.14
0.91,1,3,3,63.6,59.0,6.15,6.11,3.9
0.31,2,0,5,61.0,54.0,4.38,4.44,2.69
1.42,4,1,2,61.1,62.0,7.17,7.2,4.39
0.43,2,1,2,61.2,56.2,4.87,4.89,2.99
2.01,2,5,3,62.5,55.0,8.12,8.08,5.06
0.3,4,4,2,61.3,61.0,4.25,4.27,2.61
0.37,4,2,3,60.7,57.0,4.62,4.67,2.82
0.43,2,1,2,61.5,56.0,4.9,4.85,3.0
0.3,2,5,4,61.5,58.0,4.28,4.31,2.64
0.45,4,3,3,59.7,61.0,4.95,5.0,2.97
1.17,2,3,7,61.7,55.0,6.74,6.77,4.17
0.31,2,1,2,60.6,56.0,4.39,4.42,2.67
0.51,4,2,4,63.3,59.0,5.09,5.12,3.23
0.34,2,3,1,61.3,56.0,4.52,4.55,2.78
0.93,1,5,5,58.2,60.0,6.41,6.48,3.75
1.01,1,2,6,63.2,56.0,6.33,6.39,4.02
0.52,2,1,3,60.9,56.0,5.2,5.23,3.17
1.01,0,1,2,56.8,61.0,6.59,6.62,3.75
2.4,2,4,3,62.0,55.0,8.6,8.57,5.32
0.54,1,1,5,63.3,55.0,5.2,5.26,3.31
0.57,2,3,4,61.4,55.0,5.34,5.38,3.29
0.3,1,2,4,63.7,56.0,4.28,4.26,2.72
0.7,2,5,3,61.5,53.0,5.74,5.77,3.54
0.38,2,2,2,61.1,57.0,4.7,4.72,2.88
0.51,4,0,5,63.7,55.0,5.05,5.09,3.23
0.3,2,4,5,62.4,55.0,4.28,4.31,2.68
1.5,4,5,2,60.3,60.0,7.46,7.43,4.49
1.12,4,3,7,62.6,59.0,6.58,6.61,4.13
0.31,4,3,5,63.4,59.0,4.32,4.29,2.73
0.32,1,0,2,63.7,55.0,4.38,4.35,2.78
1.1,2,1,3,61.6,56.0,6.66,6.63,4.09
0.3,3,3,6,60.6,61.0,4.35,4.33,2.63
1.86,3,4,3,62.3,57.0,7.85,7.82,4.88
1.11,1,0,3,58.0,62.0,6.77,6.81,3.94
0.53,2,2,4,61.5,56.0,5.26,5.22,3.22
2.42,3,6,5,61.3,59.0,8.61,8.58,5.27
0.74,1,0,6,59.2,62.6,5.85,5.87,3.47
0.53,1,1,2,57.8,57.0,5.33,5.29,3.07
0.96,0,3,0,64.5,60.0,6.16,6.11,3.96
0.41,2,0,4,61.3,54.0,4.8,4.83,2.95
